,Country Name,2005,2006,2007,2008,2009,2010
0,Aruba,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978
1,Afghanistan,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0
2,Angola,591040.0,589791.9921875,588543.984375,587296.015625,586048.0078125,584800.0
3,Albania,7824.00024414063,7811.799926757809,7799.600219726559,7787.39990234375,7775.2001953125,7762.999877929691
4,Andorra,160.0,160.0,160.0,160.0,160.0,160.0
5,Arab World,189567.700001597,190278.604144752,190989.59848374102,191700.501482487,192411.49582624398,193122.499816418
6,United Arab Emirates,3120.0,3130.59997558594,3141.19995117188,3151.79992675781,3162.39990234375,3172.99987792969
7,Argentina,301860.0,298680.0,295500.0,292320.0,289140.0,285960.0
8,Armenia,3320.0,3317.99987792969,3316.00006103516,3313.99993896484,3312.00012207031,3310.0
9,American Samoa,178.79999160766602,178.500003814697,178.09999465942403,177.800006866455,177.5,177.099990844727
10,Antigua and Barbuda,98.00000190734859,98.00000190734859,98.00000190734859,98.00000190734859,98.00000190734859,98.00000190734859
11,Australia,1276410.0,1267550.0,1258690.0,1249830.0,1240970.0,1232110.0
12,Austria,38510.0,38528.0004882813,38546.0009765625,38563.9990234375,38581.9995117188,38600.0
13,Azerbaijan,8772.000122070309,9034.199829101559,9296.40014648438,9558.59985351563,9820.800170898441,10082.9998779297
14,Burundi,1810.0,1953.9999389648399,2098.00003051758,2241.99996948242,2386.0000610351603,2530.0
15,Belgium,6742.00012207031,6755.99975585938,6770.0,6784.00024414063,6797.99987792969,6812.00012207031
16,Benin,48110.0,47610.0,47110.0,46610.0,46110.0,45610.0
17,Burkina Faso,59490.0,58890.0,58290.0,57690.0,57090.0,56490.0
18,Bangladesh,14550.0,14524.000244140601,14498.0004882813,14471.9995117188,14445.999755859399,14420.0
19,Bulgaria,36510.0,36681.9995117188,36853.9990234375,37026.0009765625,37198.0004882813,37370.0
20,Bahrain,4.49999988079071,4.6000000834465,4.799999892711639,4.90000009536743,5.09999990463257,5.2999997138977095
21,"Bahamas, The",5150.0,5150.0,5150.0,5150.0,5150.0,5150.0
22,Bosnia and Herzegovina,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0
23,Belarus,84360.0,84555.99609375,84752.001953125,84947.998046875,85144.00390625,85340.0
24,Belize,14165.3002929688,14115.0,14064.6997070313,14014.4995117188,13964.200439453101,13913.900146484399
25,Bermuda,10.0,10.0,10.0,10.0,10.0,10.0
26,Bolivia,587340.0,582290.0,577240.0,572190.0,567140.0,562090.0
27,Brazil,5067340.0,5050788.125,5034235.9375,5017684.0625,5001131.875,4984580.0
28,Barbados,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604,63.000001907348604
29,Brunei Darussalam,3890.0,3872.00012207031,3853.99993896484,3836.00006103516,3817.99987792969,3800.0
30,Bhutan,26556.4990234375,26655.80078125,26755.0,26854.299316406297,26953.601074218797,27052.900390625
31,Botswana,119430.0,118245.99609375,117062.001953125,115877.998046875,114694.00390625,113510.0
32,Central African Republic,223260.0,223104.00390625,222948.0078125,222791.9921875,222635.99609375,222480.0
33,Canada,3475760.0,3475211.875,3474664.0625,3474115.9375,3473568.125,3473020.0
34,Central Europe and the Baltics,366200.0,367255.99487304705,368311.99829101603,369368.001708985,370424.00512695295,371480.0
35,Switzerland,12170.0,12205.999755859399,12241.9995117188,12278.0004882813,12314.000244140601,12350.0
36,Channel Islands,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929
37,Chile,160420.0,160797.998046875,161175.99609375,161554.00390625,161932.001953125,162310.0
38,China,1930439.0625,1945571.875,1960704.53125,1975837.34375,1990970.15625,2006102.96875
39,Cote d'Ivoire,104050.0,104045.99609375,104042.001953125,104037.998046875,104034.00390625,104030.0
40,Cameroon,210160.0,207960.0,205760.0,203560.0,201360.0,199160.0
41,"Congo, Dem. Rep.",1556920.0,1553805.9375,1550692.03125,1547577.96875,1544464.0625,1541350.0
42,"Congo, Rep.",224710.0,224590.0,224470.0,224350.0,224230.0,224110.0
43,Colombia,602013.59375,598881.484375,595749.4140625,592617.3828125,589485.3125,586353.203125
44,Comoros,420.0,414.000015258789,407.999992370605,402.000007629395,395.999984741211,390.0
45,Cabo Verde,835.8999633789059,838.899993896484,841.900024414063,844.899978637695,847.900009155273,850.8999633789059
46,Costa Rica,24910.0,25138.000488281297,25366.0009765625,25593.9990234375,25821.999511718797,26050.0
47,Caribbean small states,346107.100429535,345952.107810974,345797.195625305,345642.303390503,345487.39246368397,345332.40015029896
48,Cuba,26970.0,27440.0,27910.0,28380.0,28850.0,29320.0
49,Curacao,,,,,,
50,Cayman Islands,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651
51,Cyprus,1728.50006103516,1728.50006103516,1728.50006103516,1728.50006103516,1728.39996337891,1728.39996337891
52,Czech Republic,26470.0,26490.0,26510.0,26530.0,26550.0,26570.0
